max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	sqrt	4	4	1000	0.8924540347293158	0.9093755908842116	0.8838689338302341
10	sqrt	4	8	1000	0.8924540347293158	0.9093755908842116	0.8838689338302341
12	log2	4	8	1000	0.8969867211440243	0.9092182554624506	0.8895930283701181
12	log2	4	4	1000	0.8969867211440243	0.9092182554624506	0.8895930283701181
12	log2	4	2	1000	0.8969867211440243	0.9092182554624506	0.8895930283701181
10	sqrt	4	2	600	0.8924412665985699	0.9091307408967145	0.8838689338302341
10	sqrt	4	4	600	0.8924412665985699	0.9091307408967145	0.8838689338302341
10	sqrt	4	8	600	0.8924412665985699	0.9091307408967145	0.8838689338302341
12	log2	4	10	1000	0.8969739530132788	0.9087992308901954	0.8896097365524609
10	sqrt	4	10	1000	0.8947139938712974	0.9087339286249023	0.8865716365329368
8	log2	2	8	600	0.8913049029622062	0.9085669671838794	0.8828696879780471
8	sqrt	2	10	1000	0.89244126659857	0.9084805270557113	0.8839044957079013
6	sqrt	2	8	1000	0.8833631256384065	0.9081986155895893	0.8727582875802689
8	log2	2	8	1000	0.8890194075587334	0.9080475766033246	0.8801502770930016
10	log2	4	8	200	0.892402962206333	0.9076367927987652	0.8842043311470554
10	log2	4	4	200	0.892402962206333	0.9076367927987652	0.8842043311470554
10	log2	4	2	200	0.892402962206333	0.9076367927987652	0.8842043311470554
6	sqrt	2	8	600	0.8844867211440246	0.9075518458251723	0.8741096389316203
6	sqrt	2	2	200	0.8811031664964248	0.9074831330816439	0.8697201875607448
6	sqrt	2	4	200	0.8811031664964248	0.9074831330816439	0.8697201875607448
8	log2	2	4	200	0.8901813074565883	0.9072246382161573	0.8815016284443529
8	log2	2	2	200	0.8901813074565883	0.9072246382161573	0.8815016284443529
8	sqrt	2	2	200	0.8947139938712972	0.9071460832490243	0.8869425957274254
8	sqrt	2	4	200	0.8947139938712972	0.9071460832490243	0.8869425957274254
12	sqrt	4	10	1000	0.8935776302349338	0.9071130036216243	0.8855912443760741
8	log2	4	8	200	0.8833758937691523	0.906885969410937	0.8731292467747576
8	log2	4	4	200	0.8833758937691523	0.906885969410937	0.8731292467747576
8	log2	4	2	200	0.8833758937691523	0.906885969410937	0.8731292467747576
10	sqrt	2	10	200	0.9015194075587335	0.9068158021325733	0.8954049548476792
