colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.8710163432073544	0.9272074915824916	0.854397202036521
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.8574182839632277	0.9271602429828236	0.8378455885034833
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.8574182839632277	0.9271602429828236	0.8378455885034833
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.8811670071501533	0.9266141602341547	0.8671234731993247
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.8811670071501533	0.9266141602341547	0.8671234731993247
0.5	error	0	0.2	6	1	200	binary:logitraw	0.5	0.9105592441266598	0.9265203721176036	0.9035457820287544
0.5	auc	0	0.2	6	1	200	binary:logitraw	0.5	0.9105592441266598	0.9265203721176036	0.9035457820287544
0.5	error	0	0.2	6	1	1000	binary:logitraw	0.5	0.9196501532175689	0.9263288476330127	0.9147108438517109
0.5	auc	0	0.2	6	1	1000	binary:logitraw	0.5	0.9196501532175689	0.9263288476330127	0.9147108438517109
1.0	error	0	0.2	8	3	1000	binary:logitraw	1.0	0.9207992849846782	0.9254654804654805	0.9158167753368993
1.0	auc	0	0.2	8	3	1000	binary:logitraw	1.0	0.9207992849846782	0.9254654804654805	0.9158167753368993
0.5	auc	0	0.01	4	1	200	binary:logitraw	1.0	0.8618998978549541	0.9253852040051983	0.8436219531033773
0.5	error	0	0.01	4	1	200	binary:logitraw	1.0	0.8618998978549541	0.9253852040051983	0.8436219531033773
0.5	auc	0	0.2	8	1	600	binary:logitraw	1.0	0.927579162410623	0.9253098068036149	0.9242414270665045
0.5	error	0	0.2	8	1	600	binary:logitraw	1.0	0.927579162410623	0.9253098068036149	0.9242414270665045
1.0	auc	0	0.2	8	3	600	binary:logitraw	1.0	0.9219228804902961	0.9252927447045094	0.9171681266882507
1.0	error	0	0.2	8	3	600	binary:logitraw	1.0	0.9219228804902961	0.9252927447045094	0.9171681266882507
0.5	error	0	0.01	4	3	200	binary:logitraw	1.0	0.8573799795709908	0.925287781961169	0.8382165476979718
0.5	auc	0	0.01	4	3	200	binary:logitraw	1.0	0.8573799795709908	0.925287781961169	0.8382165476979718
0.5	auc	0	0.01	6	3	200	binary:logitraw	1.0	0.8676072522982636	0.9250608277793877	0.8507141071769555
0.5	error	0	0.01	6	3	200	binary:logitraw	1.0	0.8676072522982636	0.9250608277793877	0.8507141071769555
0.5	error	0	0.01	8	3	200	binary:logitraw	1.0	0.878894279877426	0.9248103596277222	0.8645274561296233
0.5	auc	0	0.01	8	3	200	binary:logitraw	1.0	0.878894279877426	0.9248103596277222	0.8645274561296233
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.8902196118488253	0.9246891676789438	0.8785695167661112
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.8902196118488253	0.9246891676789438	0.8785695167661112
1.0	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9094356486210419	0.9245815118976886	0.9022488462503944
1.0	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9094356486210419	0.9245815118976886	0.9022488462503944
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9026430030643514	0.9243741627913584	0.8938053408254646
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9026430030643514	0.9243741627913584	0.8938053408254646
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.8744126659856996	0.9243652864371554	0.8591220507242179
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.8744126659856996	0.9243652864371554	0.8591220507242179
0.5	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.902655771195097	0.92430128351181	0.8937697789477976
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.902655771195097	0.92430128351181	0.8937697789477976
1.0	error	0	0.01	6	3	600	binary:logitraw	0.5	0.8913176710929521	0.9242809008534815	0.8799208681174626
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.8913176710929521	0.9242809008534815	0.8799208681174626
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9015321756894791	0.9242044186970781	0.8924184275964462
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9015321756894791	0.9242044186970781	0.8924184275964462
1.0	error	0	0.2	4	3	600	binary:logitraw	1.0	0.921897344228805	0.9241366487690017	0.9174302547367563
1.0	auc	0	0.2	4	3	600	binary:logitraw	1.0	0.921897344228805	0.9241366487690017	0.9174302547367563
0.5	auc	0	0.2	6	3	600	binary:logitraw	1.0	0.9253319713993869	0.9236689388382263	0.9218762671936048
0.5	error	0	0.2	6	3	600	binary:logitraw	1.0	0.9253319713993869	0.9236689388382263	0.9218762671936048
0.5	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.8936159346271705	0.9236344195708108	0.8830133837099782
0.5	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.8936159346271705	0.9236344195708108	0.8830133837099782
0.5	error	0	0.01	8	3	1000	binary:logitraw	1.0	0.9094484167517874	0.9234607599406486	0.9022844081280613
0.5	auc	0	0.01	8	3	1000	binary:logitraw	1.0	0.9094484167517874	0.9234607599406486	0.9022844081280613
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.8868232890704801	0.9234549334447097	0.8745510245897243
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.8868232890704801	0.9234549334447097	0.8745510245897243
