colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9325771324863885	0.943705096073517	0.9192172692172692
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9325771324863885	0.943705096073517	0.9192172692172692
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9031760435571687	0.9431286549707604	0.8785772785772787
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9031760435571687	0.9431286549707604	0.8785772785772787
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9290986085904416	0.9429908103592315	0.9146342771342771
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9290986085904416	0.9429908103592315	0.9146342771342771
1.0	error	0	0.01	4	3	600	binary:logitraw	1.0	0.9239261947973383	0.9421598112929382	0.9077078702078701
1.0	auc	0	0.01	4	3	600	binary:logitraw	1.0	0.9239261947973383	0.9421598112929382	0.9077078702078701
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9377192982456141	0.9416991094336632	0.9273146523146523
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9377192982456141	0.9416991094336632	0.9273146523146523
0.5	auc	0	0.01	6	1	200	binary:logitraw	1.0	0.9204779189352692	0.9415575480590961	0.9031999531999532
0.5	error	0	0.01	6	1	200	binary:logitraw	1.0	0.9204779189352692	0.9415575480590961	0.9031999531999532
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9394131881427707	0.941301524562394	0.9296956046956047
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9394131881427707	0.941301524562394	0.9296956046956047
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9325468844525107	0.9398530416951469	0.9202800202800203
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9325468844525107	0.9398530416951469	0.9202800202800203
1.0	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.934301270417423	0.9393943191311612	0.9226609726609727
1.0	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.934301270417423	0.9393943191311612	0.9226609726609727
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9428614640048396	0.939375117635987	0.9352331227331228
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9428614640048396	0.939375117635987	0.9352331227331228
1.0	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.9325468844525104	0.9390975297268204	0.9203882453882454
1.0	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.9325468844525104	0.9390975297268204	0.9203882453882454
1.0	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9429219600725952	0.9377716029203444	0.9353788853788855
1.0	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9429219600725952	0.9377716029203444	0.9353788853788855
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9308227465214761	0.9375324675324676	0.9189286689286689
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9308227465214761	0.9375324675324676	0.9189286689286689
