max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
8	sqrt	2	10	1000	0.9325956284153005	0.9418875609093	0.9252057057057057
6	log2	4	8	600	0.9325683060109288	0.9418068155676851	0.9252057057057058
6	log2	4	2	600	0.9325683060109288	0.9418068155676851	0.9252057057057058
6	log2	4	4	600	0.9325683060109288	0.9418068155676851	0.9252057057057058
6	log2	2	2	1000	0.9292622950819671	0.9416711106928497	0.9210015015015015
6	log2	2	4	1000	0.9292622950819671	0.9416711106928497	0.9210015015015015
8	log2	2	8	200	0.9309016393442622	0.9416522889348975	0.9230848348348349
8	sqrt	4	10	1000	0.932622950819672	0.9415064203107683	0.9252057057057057
6	log2	4	2	1000	0.9309016393442622	0.9414734822343517	0.9231223723723725
6	log2	4	8	1000	0.9309016393442622	0.9414734822343517	0.9231223723723725
8	log2	4	2	1000	0.9309016393442622	0.9414734822343517	0.9231223723723725
8	log2	4	4	1000	0.9309016393442622	0.9414734822343517	0.9231223723723725
8	log2	4	8	1000	0.9309016393442622	0.9414734822343517	0.9231223723723725
6	log2	4	4	1000	0.9309016393442622	0.9414734822343517	0.9231223723723725
6	log2	2	8	1000	0.9292622950819671	0.9412758537758537	0.921039039039039
10	log2	2	4	200	0.934207650273224	0.9409969885187275	0.9273723723723724
10	log2	2	2	200	0.934207650273224	0.9409969885187275	0.9273723723723724
6	sqrt	2	2	200	0.9292622950819671	0.9409400382226469	0.9210848348348349
6	sqrt	2	4	200	0.9292622950819671	0.9409400382226469	0.9210848348348349
12	sqrt	2	8	200	0.939207650273224	0.9399680030114814	0.9342334834834836
10	sqrt	2	8	1000	0.9359289617486338	0.9396056841709017	0.9300668168168169
8	sqrt	2	8	200	0.9309289617486339	0.9394920007528704	0.9237792792792792
12	log2	2	8	1000	0.9391803278688524	0.9394752992579081	0.9342334834834836
12	log2	2	8	600	0.9391803278688524	0.9394752992579081	0.9342334834834836
10	sqrt	4	8	200	0.9325956284153005	0.9392703745529832	0.9258626126126126
10	sqrt	4	4	200	0.9325956284153005	0.9392703745529832	0.9258626126126126
10	sqrt	4	2	200	0.9325956284153005	0.9392703745529832	0.9258626126126126
10	sqrt	2	10	1000	0.940846994535519	0.9392258820084907	0.9363168168168169
10	log2	2	10	600	0.9375136612021857	0.9391461509504987	0.9320668168168169
10	sqrt	2	2	600	0.934207650273224	0.9390965113791202	0.9279834834834835
12	log2	2	10	600	0.934207650273224	0.9390965113791202	0.9279834834834835
10	sqrt	2	4	600	0.934207650273224	0.9390965113791202	0.9279834834834835
12	log2	4	2	1000	0.9375136612021858	0.939080042340912	0.9321501501501501
12	log2	4	4	1000	0.9375136612021858	0.939080042340912	0.9321501501501501
12	log2	4	8	1000	0.9375136612021858	0.939080042340912	0.9321501501501501
10	log2	4	4	600	0.9342349726775956	0.939077689621168	0.927945945945946
10	log2	4	2	600	0.9342349726775956	0.939077689621168	0.927945945945946
10	log2	4	8	600	0.9342349726775956	0.939077689621168	0.927945945945946
12	sqrt	4	10	1000	0.9342349726775956	0.939077689621168	0.927945945945946
8	sqrt	2	8	1000	0.9358743169398906	0.9388470941297028	0.9300668168168169
12	log2	2	10	1000	0.9342076502732238	0.9388326013760798	0.9279834834834834
12	sqrt	2	10	1000	0.9375409836065571	0.9386824037476211	0.9321501501501501
6	log2	2	8	200	0.9308743169398905	0.9386421549465027	0.9236126126126125
8	sqrt	4	10	600	0.9325956284153005	0.9386141748750445	0.9258626126126126
12	log2	2	4	600	0.932568306010929	0.9385979358805445	0.9259834834834834
12	log2	2	2	600	0.932568306010929	0.9385979358805445	0.9259834834834834
8	log2	2	10	200	0.9341803278688523	0.9385851893677982	0.9278626126126126
6	log2	4	8	200	0.927622950819672	0.9385041407867494	0.9196126126126126
6	log2	4	4	200	0.927622950819672	0.9385041407867494	0.9196126126126126
6	log2	4	2	200	0.927622950819672	0.9385041407867494	0.9196126126126126
6	sqrt	2	4	600	0.9292622950819671	0.9384471607297694	0.921695945945946
6	sqrt	2	2	600	0.9292622950819671	0.9384471607297694	0.921695945945946
8	log2	4	10	600	0.9292349726775957	0.9384255157081244	0.921695945945946
6	sqrt	2	10	600	0.9309562841530055	0.9383977246585943	0.9237792792792794
12	sqrt	4	10	600	0.9309289617486337	0.9383977246585943	0.9237792792792794
6	sqrt	2	8	1000	0.9309562841530055	0.9382330342765126	0.9237792792792792
10	log2	2	10	1000	0.9342349726775956	0.9380895183721272	0.928021021021021
8	sqrt	4	10	200	0.9309016393442622	0.9380377585377586	0.9238168168168169
10	sqrt	4	2	600	0.9309016393442622	0.9378730681556767	0.9237792792792794
10	sqrt	4	4	600	0.9309016393442622	0.9378730681556767	0.9237792792792794
10	sqrt	4	8	600	0.9309016393442622	0.9378730681556767	0.9237792792792794
