max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	sqrt	4	8	1000	0.9185267857142858	0.9301737784953679	0.9133204633204635
12	sqrt	4	2	1000	0.9185267857142858	0.9301737784953679	0.9133204633204635
12	log2	4	4	200	0.9200644841269842	0.9283139348439924	0.9155691405691406
12	log2	4	8	200	0.9200644841269842	0.9283139348439924	0.9155691405691406
12	log2	4	2	200	0.9200644841269842	0.9283139348439924	0.9155691405691406
8	sqrt	2	4	1000	0.9216517857142857	0.928116806981125	0.9174209924209926
8	sqrt	2	2	1000	0.9216517857142857	0.928116806981125	0.9174209924209926
10	log2	4	2	600	0.9216517857142857	0.9278027865719747	0.9174871299871301
10	log2	4	4	600	0.9216517857142857	0.9278027865719747	0.9174871299871301
10	log2	4	8	600	0.9216517857142857	0.9278027865719747	0.9174871299871301
10	sqrt	2	8	1000	0.921701388888889	0.9276059512978554	0.9174209924209924
8	log2	2	8	600	0.9232142857142858	0.9275729232453369	0.9192728442728443
8	log2	2	10	200	0.9185019841269841	0.9275558994007271	0.9137083512083514
8	sqrt	2	8	200	0.9185267857142858	0.927261903236416	0.9137834262834262
8	log2	4	10	200	0.9185515873015874	0.9272316534040673	0.9138871013871015
10	sqrt	2	10	200	0.9185267857142858	0.9270591117750037	0.9137923637923636
10	sqrt	2	10	600	0.9201140873015874	0.9268820400544537	0.9156728156728157
12	sqrt	4	10	1000	0.9201140873015874	0.9248937069237645	0.9160696410696412
10	sqrt	4	4	1000	0.9169146825396826	0.9248345671388183	0.9123283998283996
10	sqrt	4	8	1000	0.9169146825396826	0.9248345671388183	0.9123283998283996
10	sqrt	4	2	1000	0.9169146825396826	0.9248345671388183	0.9123283998283996
10	log2	2	8	200	0.9216517857142857	0.9248260143432558	0.9178839553839555
12	log2	4	10	600	0.9216765873015873	0.924556170868837	0.917950092950093
8	log2	2	10	600	0.9216269841269842	0.9245183220355635	0.9179214929214929
12	log2	2	10	200	0.9232390873015873	0.9241823361823363	0.9198305448305449
10	sqrt	4	4	200	0.9169394841269842	0.924172855259715	0.9124320749320749
10	sqrt	4	2	200	0.9169394841269842	0.924172855259715	0.9124320749320749
