max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
6	log2	2	4	600	0.835483870967742	0.8552035115549315	0.8041248606465997
6	log2	2	2	200	0.8338709677419354	0.8549731912967207	0.8010590858416945
6	log2	2	4	200	0.8338709677419354	0.8549731912967207	0.8010590858416945
10	sqrt	4	2	200	0.8403225806451614	0.8546113813946631	0.8106465997770345
10	sqrt	4	4	200	0.8403225806451614	0.8546113813946631	0.8106465997770345
10	sqrt	4	8	200	0.8403225806451614	0.8546113813946631	0.8106465997770345
6	log2	2	10	1000	0.8403225806451612	0.8544161977384995	0.8115384615384615
10	sqrt	2	10	1000	0.8532258064516128	0.8535590982804605	0.8298216276477145
8	log2	4	8	600	0.8451612903225806	0.8529282056952336	0.8180602006688963
8	log2	4	2	600	0.8451612903225806	0.8529282056952336	0.8180602006688963
8	log2	4	4	600	0.8451612903225806	0.8529282056952336	0.8180602006688963
8	log2	4	8	1000	0.843548387096774	0.8525007481625128	0.8158862876254181
8	log2	4	2	1000	0.843548387096774	0.8525007481625128	0.8158862876254181
8	log2	4	4	1000	0.843548387096774	0.8525007481625128	0.8158862876254181
10	sqrt	4	2	600	0.8451612903225806	0.8519549486461251	0.8207357859531772
10	sqrt	4	8	600	0.8451612903225806	0.8519549486461251	0.8207357859531772
10	sqrt	4	4	600	0.8451612903225806	0.8519549486461251	0.8207357859531772
6	log2	2	4	1000	0.8306451612903224	0.8516194142974329	0.7984949832775919
6	log2	2	2	1000	0.8306451612903224	0.8516194142974329	0.7984949832775919
10	sqrt	4	10	1000	0.85	0.8511173527381969	0.826365663322185
6	log2	2	8	200	0.8338709677419354	0.8502301341589267	0.8019509476031216
12	sqrt	4	10	200	0.8451612903225806	0.8499755516241585	0.8189520624303231
10	sqrt	4	10	600	0.8483870967741935	0.8494556934508258	0.8250836120401337
10	sqrt	4	2	1000	0.8451612903225806	0.8493106131341426	0.8198439241917503
10	sqrt	4	4	1000	0.8451612903225806	0.8493106131341426	0.8198439241917503
10	sqrt	4	8	1000	0.8451612903225806	0.8493106131341426	0.8198439241917503
8	log2	4	10	600	0.8387096774193548	0.8484949583785925	0.8111482720178372
