colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.8995697074010327	0.9385230702166186	0.8843226381461676
1.0	error	0	0.01	6	3	200	binary:logitraw	0.5	0.8995697074010327	0.9385230702166186	0.8843226381461676
0.5	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9187320711417095	0.938396962233169	0.9091051693404634
0.5	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9187320711417095	0.938396962233169	0.9091051693404634
0.5	auc	0	0.01	6	1	200	binary:logitraw	1.0	0.9103413654618475	0.9381067287189951	0.8982513368983959
0.5	error	0	0.01	6	1	200	binary:logitraw	1.0	0.9103413654618475	0.9381067287189951	0.8982513368983959
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9211560527825589	0.9379556793780932	0.9121800356506238
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9211560527825589	0.9379556793780932	0.9121800356506238
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9043746414228341	0.9373989500878295	0.8908092691622104
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9043746414228341	0.9373989500878295	0.8908092691622104
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9259036144578312	0.935548128342246	0.9186221033868094
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9259036144578312	0.935548128342246	0.9186221033868094
1.0	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9079604130808949	0.935277484637885	0.8957361853832442
1.0	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9079604130808949	0.935277484637885	0.8957361853832442
0.5	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9175272518646012	0.9350636288998357	0.9081051693404636
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9175272518646012	0.9350636288998357	0.9081051693404636
1.0	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9151606425702811	0.9350562132528207	0.9051639928698751
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9151606425702811	0.9350562132528207	0.9051639928698751
1.0	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9211273666092943	0.934890866075822	0.9130766488413549
1.0	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9211273666092943	0.934890866075822	0.9130766488413549
1.0	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.8983505450372921	0.934867156238124	0.8833226381461676
1.0	error	0	0.01	8	3	200	binary:logitraw	0.5	0.8983505450372921	0.934867156238124	0.8833226381461676
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9139271371199083	0.9346848410210479	0.9036042780748662
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9139271371199083	0.9346848410210479	0.9036042780748662
