Dataset	Type	RF ACC	RF AUC	RF PR	RF SP	XGB ACC	XGB AUC	XGB PR	XGB SP	SVM ACC	SVM AUC	SVM PR	SVM SP	MLP ACC	MLP AUC	MLP PR	MLP SP
AKT1	ECFP4_256bits	Train 0.99 | Valid 1.00 | Test 0.71	Train 0.99 | Valid 1.00 | Test 0.65	Train 1.00 | Valid 1.00 | Test 0.84	Train 1.00 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 0.98 | Test 0.72	Train 1.00 | Valid 0.99 | Test 0.68	Train 1.00 | Valid 0.96 | Test 0.76	Train 1.00 | Valid 0.97 | Test 0.90	Train 0.90 | Valid 0.98 | Test 0.66	Train 0.87 | Valid 0.97 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.89	Train 1.00 | Valid 1.00 | Test 0.99	Train 0.94 | Valid 0.99 | Test 0.67	Train 0.92 | Valid 0.99 | Test 0.59	Train 1.00 | Valid 0.98 | Test 0.79	Train 1.00 | Valid 0.99 | Test 0.96
AKT2	ECFP4_256bits	Train 1.00 | Valid 0.97 | Test 0.74	Train 1.00 | Valid 0.97 | Test 0.71	Train 1.00 | Valid 0.92 | Test 0.70	Train 1.00 | Valid 0.95 | Test 0.84	Train 0.98 | Valid 1.00 | Test 0.81	Train 0.98 | Valid 1.00 | Test 0.80	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.84	Train 0.98 | Valid 0.97 | Test 0.74	Train 0.98 | Valid 0.97 | Test 0.71	Train 1.00 | Valid 0.92 | Test 0.70	Train 1.00 | Valid 0.95 | Test 0.84	Train 1.00 | Valid 0.97 | Test 0.71	Train 1.00 | Valid 0.97 | Test 0.72	Train 1.00 | Valid 0.92 | Test 0.60	Train 1.00 | Valid 0.95 | Test 0.68
CSF1R	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.74	Train 1.00 | Valid 1.00 | Test 0.74	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.77	Train 1.00 | Valid 1.00 | Test 0.76	Train 1.00 | Valid 1.00 | Test 0.70	Train 1.00 | Valid 1.00 | Test 0.79	Train 1.00 | Valid 1.00 | Test 0.64	Train 1.00 | Valid 1.00 | Test 0.57	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.93	Train 0.95 | Valid 0.96 | Test 0.60	Train 0.93 | Valid 0.96 | Test 0.53	Train 1.00 | Valid 0.95 | Test 0.50	Train 1.00 | Valid 0.96 | Test 0.86
FAK1	ECFP4_256bits	Train 0.99 | Valid 1.00 | Test 0.65	Train 0.99 | Valid 1.00 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.93	Train 0.99 | Valid 1.00 | Test 0.65	Train 0.99 | Valid 1.00 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.93	Train 0.99 | Valid 1.00 | Test 0.61	Train 0.99 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.00	Train 1.00 | Valid 1.00 | Test 1.00
KPCB	ECFP4_256bits	Train 0.99 | Valid 1.00 | Test 0.76	Train 0.99 | Valid 1.00 | Test 0.72	Train 1.00 | Valid 1.00 | Test 0.89	Train 1.00 | Valid 1.00 | Test 0.96	Train 1.00 | Valid 1.00 | Test 0.76	Train 1.00 | Valid 1.00 | Test 0.71	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 0.71	Train 1.00 | Valid 1.00 | Test 0.65	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.96 | Valid 1.00 | Test 0.76	Train 0.96 | Valid 1.00 | Test 0.71	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
MAPK2	ECFP4_256bits	Train 1.00 | Valid 0.96 | Test 0.84	Train 1.00 | Valid 0.97 | Test 0.82	Train 1.00 | Valid 0.91 | Test 0.88	Train 1.00 | Valid 0.93 | Test 0.93	Train 0.97 | Valid 0.96 | Test 0.80	Train 0.96 | Valid 0.97 | Test 0.77	Train 1.00 | Valid 0.91 | Test 0.86	Train 1.00 | Valid 0.93 | Test 0.93	Train 0.96 | Valid 0.96 | Test 0.72	Train 0.95 | Valid 0.97 | Test 0.67	Train 1.00 | Valid 0.91 | Test 0.80	Train 1.00 | Valid 0.93 | Test 0.93	Train 0.87 | Valid 0.92 | Test 0.68	Train 0.84 | Valid 0.90 | Test 0.60	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
MET	ECFP4_256bits	Train 0.99 | Valid 1.00 | Test 0.61	Train 0.99 | Valid 1.00 | Test 0.54	Train 1.00 | Valid 1.00 | Test 0.60	Train 1.00 | Valid 1.00 | Test 0.93	Train 1.00 | Valid 0.98 | Test 0.61	Train 1.00 | Valid 0.98 | Test 0.54	Train 1.00 | Valid 1.00 | Test 0.60	Train 1.00 | Valid 1.00 | Test 0.93	Train 0.98 | Valid 0.98 | Test 0.59	Train 0.97 | Valid 0.98 | Test 0.52	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.90	Train 0.97 | Valid 0.98 | Test 0.65	Train 0.97 | Valid 0.98 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.80	Train 1.00 | Valid 1.00 | Test 0.97
MP2K1	ECFP4_256bits	Train 0.98 | Valid 1.00 | Test 0.63	Train 0.97 | Valid 1.00 | Test 0.55	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.95	Train 0.98 | Valid 1.00 | Test 0.60	Train 0.97 | Valid 1.00 | Test 0.52	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.90	Train 1.00 | Valid 1.00 | Test 0.69	Train 1.00 | Valid 1.00 | Test 0.64	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.86	Train 1.00 | Valid 0.97 | Test 0.66	Train 1.00 | Valid 0.98 | Test 0.62	Train 1.00 | Valid 0.93 | Test 0.60	Train 1.00 | Valid 0.95 | Test 0.81
PLK1	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.68	Train 1.00 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.94	Train 0.98 | Valid 1.00 | Test 0.68	Train 0.98 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.94	Train 0.98 | Valid 1.00 | Test 0.68	Train 0.98 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.94	Train 1.00 | Valid 1.00 | Test 0.68	Train 1.00 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.94
WEE1	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.72	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.80	Train 1.00 | Valid 1.00 | Test 0.93	Train 1.00 | Valid 1.00 | Test 0.76	Train 1.00 | Valid 1.00 | Test 0.72	Train 1.00 | Valid 1.00 | Test 0.83	Train 1.00 | Valid 1.00 | Test 0.93	Train 1.00 | Valid 1.00 | Test 0.76	Train 1.00 | Valid 1.00 | Test 0.72	Train 1.00 | Valid 1.00 | Test 0.83	Train 1.00 | Valid 1.00 | Test 0.93	Train 1.00 | Valid 1.00 | Test 0.76	Train 1.00 | Valid 1.00 | Test 0.72	Train 1.00 | Valid 1.00 | Test 0.83	Train 1.00 | Valid 1.00 | Test 0.93
ABL1	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.64	Train 1.00 | Valid 1.00 | Test 0.59	Train 1.00 | Valid 1.00 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.82	Train 0.99 | Valid 1.00 | Test 0.64	Train 0.99 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 1.00 | Test 0.55	Train 1.00 | Valid 1.00 | Test 0.75	Train 0.94 | Valid 0.98 | Test 0.62	Train 0.93 | Valid 0.99 | Test 0.57	Train 0.99 | Valid 0.96 | Test 0.53	Train 0.99 | Valid 0.98 | Test 0.80	Train 0.89 | Valid 0.97 | Test 0.64	Train 0.86 | Valid 0.96 | Test 0.55	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.95
BRAF	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.62	Train 0.99 | Valid 1.00 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.54	Train 1.00 | Valid 1.00 | Test 0.80	Train 1.00 | Valid 1.00 | Test 0.64	Train 0.99 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.73	Train 1.00 | Valid 1.00 | Test 0.68	Train 0.99 | Valid 1.00 | Test 0.63	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.87	Train 0.99 | Valid 0.98 | Test 0.58	Train 0.98 | Valid 0.98 | Test 0.51	Train 1.00 | Valid 1.00 | Test 0.43	Train 1.00 | Valid 1.00 | Test 0.87
CDK2	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.59	Train 1.00 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 0.99 | Test 0.50	Train 1.00 | Valid 0.99 | Test 0.52	Train 1.00 | Valid 0.98 | Test 0.61	Train 1.00 | Valid 0.98 | Test 0.63	Train 1.00 | Valid 0.94 | Test 0.51	Train 1.00 | Valid 0.96 | Test 0.55	Train 0.75 | Valid 0.83 | Test 0.62	Train 0.69 | Valid 0.79 | Test 0.54	Train 1.00 | Valid 1.00 | Test 0.63	Train 1.00 | Valid 1.00 | Test 0.94	Train 0.93 | Valid 0.95 | Test 0.55	Train 0.92 | Valid 0.95 | Test 0.57	Train 0.96 | Valid 0.93 | Test 0.46	Train 0.98 | Valid 0.95 | Test 0.46
EGFR	ECFP4_256bits	Train 0.98 | Valid 0.99 | Test 0.67	Train 0.97 | Valid 0.98 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.84	Train 0.99 | Valid 1.00 | Test 0.65	Train 0.99 | Valid 0.99 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.78	Train 0.94 | Valid 0.95 | Test 0.71	Train 0.93 | Valid 0.94 | Test 0.66	Train 1.00 | Valid 1.00 | Test 0.74	Train 1.00 | Valid 1.00 | Test 0.91	Train 0.97 | Valid 0.97 | Test 0.63	Train 0.97 | Valid 0.97 | Test 0.60	Train 0.99 | Valid 0.95 | Test 0.54	Train 0.99 | Valid 0.97 | Test 0.73
FGFR1	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.65	Train 1.00 | Valid 1.00 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.92	Train 1.00 | Valid 0.98 | Test 0.63	Train 1.00 | Valid 0.98 | Test 0.57	Train 1.00 | Valid 0.94 | Test 0.56	Train 1.00 | Valid 0.96 | Test 0.85	Train 0.98 | Valid 0.98 | Test 0.63	Train 0.98 | Valid 0.98 | Test 0.57	Train 1.00 | Valid 0.94 | Test 0.56	Train 1.00 | Valid 0.96 | Test 0.85	Train 0.90 | Valid 0.84 | Test 0.65	Train 0.87 | Valid 0.79 | Test 0.57	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.96
IGF1R	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.69	Train 1.00 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 0.69	Train 1.00 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.75	Train 1.00 | Valid 1.00 | Test 0.93	Train 1.00 | Valid 1.00 | Test 0.65	Train 1.00 | Valid 1.00 | Test 0.60	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.90
JAK2	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.61	Train 1.00 | Valid 1.00 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.76	Train 0.98 | Valid 1.00 | Test 0.54	Train 0.98 | Valid 1.00 | Test 0.47	Train 1.00 | Valid 1.00 | Test 0.33	Train 1.00 | Valid 1.00 | Test 0.76	Train 1.00 | Valid 1.00 | Test 0.54	Train 1.00 | Valid 1.00 | Test 0.51	Train 1.00 | Valid 1.00 | Test 0.40	Train 1.00 | Valid 1.00 | Test 0.65	Train 0.95 | Valid 1.00 | Test 0.64	Train 0.93 | Valid 1.00 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.94
KIT	ECFP4_256bits	Train 1.00 | Valid 0.98 | Test 0.66	Train 0.99 | Valid 0.99 | Test 0.62	Train 1.00 | Valid 0.96 | Test 0.59	Train 1.00 | Valid 0.97 | Test 0.80	Train 1.00 | Valid 0.97 | Test 0.67	Train 0.99 | Valid 0.97 | Test 0.62	Train 1.00 | Valid 0.92 | Test 0.67	Train 1.00 | Valid 0.94 | Test 0.89	Train 1.00 | Valid 1.00 | Test 0.66	Train 1.00 | Valid 1.00 | Test 0.57	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.91 | Valid 0.91 | Test 0.64	Train 0.89 | Valid 0.89 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.67	Train 1.00 | Valid 1.00 | Test 0.94
LCK	ECFP4_256bits	Train 0.99 | Valid 1.00 | Test 0.73	Train 0.99 | Valid 1.00 | Test 0.70	Train 1.00 | Valid 1.00 | Test 0.71	Train 1.00 | Valid 1.00 | Test 0.85	Train 0.99 | Valid 0.99 | Test 0.70	Train 0.99 | Valid 1.00 | Test 0.68	Train 1.00 | Valid 0.99 | Test 0.65	Train 1.00 | Valid 0.99 | Test 0.80	Train 0.93 | Valid 0.97 | Test 0.69	Train 0.91 | Valid 0.96 | Test 0.64	Train 1.00 | Valid 1.00 | Test 0.74	Train 1.00 | Valid 1.00 | Test 0.92	Train 0.96 | Valid 0.98 | Test 0.67	Train 0.95 | Valid 0.98 | Test 0.64	Train 0.99 | Valid 0.97 | Test 0.61	Train 0.99 | Valid 0.98 | Test 0.78
MK10	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.81	Train 1.00 | Valid 0.92 | Test 0.65	Train 1.00 | Valid 0.94 | Test 0.61	Train 1.00 | Valid 0.83 | Test 0.57	Train 1.00 | Valid 0.88 | Test 0.81	Train 0.99 | Valid 1.00 | Test 0.62	Train 0.99 | Valid 1.00 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.81	Train 1.00 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.57	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.75
MK14	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.66	Train 1.00 | Valid 0.99 | Test 0.66	Train 1.00 | Valid 1.00 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.65	Train 1.00 | Valid 0.99 | Test 0.68	Train 1.00 | Valid 0.99 | Test 0.68	Train 1.00 | Valid 0.99 | Test 0.58	Train 1.00 | Valid 0.99 | Test 0.67	Train 1.00 | Valid 0.99 | Test 0.70	Train 1.00 | Valid 0.99 | Test 0.65	Train 1.00 | Valid 1.00 | Test 0.76	Train 1.00 | Valid 1.00 | Test 0.92	Train 0.98 | Valid 0.96 | Test 0.65	Train 0.98 | Valid 0.96 | Test 0.68	Train 0.97 | Valid 0.92 | Test 0.55	Train 0.98 | Valid 0.94 | Test 0.56
ROCK1	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.60	Train 1.00 | Valid 1.00 | Test 0.55	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.80	Train 1.00 | Valid 1.00 | Test 0.60	Train 1.00 | Valid 1.00 | Test 0.58	Train 1.00 | Valid 1.00 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.67	Train 0.98 | Valid 1.00 | Test 0.56	Train 0.98 | Valid 1.00 | Test 0.52	Train 1.00 | Valid 1.00 | Test 0.43	Train 1.00 | Valid 1.00 | Test 0.73	Train 0.93 | Valid 0.96 | Test 0.64	Train 0.91 | Valid 0.95 | Test 0.55	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
TGFR1	ECFP4_256bits	Train 1.00 | Valid 1.00 | Test 0.68	Train 1.00 | Valid 1.00 | Test 0.64	Train 1.00 | Valid 1.00 | Test 0.64	Train 1.00 | Valid 1.00 | Test 0.84	Train 0.99 | Valid 1.00 | Test 0.68	Train 0.98 | Valid 1.00 | Test 0.65	Train 1.00 | Valid 1.00 | Test 0.62	Train 1.00 | Valid 1.00 | Test 0.80	Train 1.00 | Valid 0.98 | Test 0.59	Train 1.00 | Valid 0.97 | Test 0.50	Train 1.00 | Valid 1.00 | Test 0.40	Train 1.00 | Valid 1.00 | Test 0.88	Train 0.99 | Valid 0.98 | Test 0.59	Train 0.99 | Valid 0.97 | Test 0.54	Train 1.00 | Valid 1.00 | Test 0.45	Train 1.00 | Valid 1.00 | Test 0.76
VGFR2	ECFP4_256bits	Train 1.00 | Valid 0.99 | Test 0.56	Train 1.00 | Valid 1.00 | Test 0.52	Train 1.00 | Valid 0.99 | Test 0.43	Train 1.00 | Valid 0.99 | Test 0.70	Train 0.99 | Valid 0.99 | Test 0.56	Train 0.99 | Valid 0.99 | Test 0.52	Train 1.00 | Valid 0.99 | Test 0.43	Train 1.00 | Valid 0.99 | Test 0.70	Train 0.89 | Valid 0.92 | Test 0.57	Train 0.86 | Valid 0.90 | Test 0.49	Train 1.00 | Valid 1.00 | Test 0.33	Train 1.00 | Valid 1.00 | Test 0.89	Train 0.98 | Valid 0.96 | Test 0.52	Train 0.97 | Valid 0.97 | Test 0.51	Train 0.99 | Valid 0.92 | Test 0.41	Train 0.99 | Valid 0.94 | Test 0.54
